AO 22503
AO 22505
RA 58, 132 (Gou 2)
RA 58, 134 (Gou 3)
RA 59, 150-154 (23)
RA 59, 154 (24)
RA 59, 159
RA 59, 162
RA 59, 165 (27)
RA 59, 165 (28)
RA 59, 169 (29)
RA 59, 169 (30)
RA 59, 172 (31)
RA 59, 172 (32)
RA 59, 175
RA 60, 103 (38)
RA 60, 103 (39)
RA 60, 106 (40)
RA 60, 106 (41)
RA 60, 111 (42)
RA 60, 111 (43)
RA 60, 115 (44)
RA 60, 115 (45)
RA 60, 119 (47)
RA 60, 123 (MP 1)
RA 60, 123
RA 60, 125 (MP 1 bis)
RA 60, 140B (Bruce)
RA 60, 140A (Frank)
RA 60, 143
RA 60, 95 (34)
RA 60, 95 (35)
RA 60, 99 (36)
RA 60, 99 (37)
RA 80 - TTC 10
RA 80 - TTC 11
RA 80 - TTC 12
RA 80 - TTC 14
RA 80 - TTC 17
RA 80 - TTC 18
RA 80 - TTC 19
RA 80 - TTC 22
RA 80 - TTC 23
RA 80 - TTC 24
RA 80 - TTC 25
RA 80 - TTC 26
RA 80 - TTC 27
RA 80 - TTC 28
RA 80 - TTC 29
RA 80 - TTC 30
RA 80 - TTC 5
RA 80 - TTC 6
RA 81, 1
RA 81, 10
RA 81, 11
RA 81, 12
RA 81, 13
RA 81, 14
RA 81, 15
RA 81, 16
RA 81, 17
RA 81, 18
RA 81, 19
RA 81, 2
RA 81, 20
RA 81, 21
RA 81, 22
RA 81, 23
RA 81, 24
RA 81, 25
RA 81, 26
RA 81, 27
RA 81, 28
RA 81, 29
RA 81, 3
RA 81, 30
RA 81, 31
RA 81, 32
RA 81, 33
RA 81, 34
RA 81, 35
RA 81, 36
RA 81, 37
RA 81, 4
RA 81, 42
RA 81, 43
RA 81, 54
RA 81, 6
RA 81, 7
RA 81, 8
RA 81, 9
RA 88, Brieux
Sadberg - ARK 166-9474
Sadberg - ARK 167-9475
Sadberg - ARK 449-11796
Sadberg - ARK 451-11798
Sadberg - ARK 452-11799
Sadberg - HK 1003-5532
Sadberg - HK 1004-5533
Sadberg - HK 1006-5535
Sadberg - HK 1008-5537
Sadberg - HK 1013-5542
SUP 4
TC 1, 10
TC 1, 11
TC 1, 12
TC 1, 13
TC 1, 14
TC 1, 15
TC 1, 16
TC 1, 17
TC 1, 18
TC 1, 19
TC 1, 2
TC 1, 20
TC 1, 21
TC 1, 22
TC 1, 23
TC 1, 24
TC 1, 25
TC 1, 26
TC 1, 27
TC 1, 28
TC 1, 29
TC 1, 3
TC 1, 30
TC 1, 31
TC 1, 32
TC 1, 33
TC 1, 34
TC 1, 36
TC 1, 37
TC 1, 38
TC 1, 39
TC 1, 4
TC 1, 41
TC 1, 42
TC 1, 43
TC 1, 44
TC 1, 45
TC 1, 46
TC 1, 47
TC 1, 48
TC 1, 49
TC 1, 5
TC 1, 50
TC 1, 51
TC 1, 52
TC 1, 53
TC 1, 54
TC 1, 55
TC 1, 56
TC 1, 57
TC 1, 58
TC 1, 6
TC 1, 60
TC 1, 61
TC 1, 69
TC 1, 7
TC 1, 8
TC 1, 9
TC 2, 1
TC 2, 10
TC 2, 11
TC 2, 12
TC 2, 13
TC 2, 14
TC 2, 15
TC 2, 16
TC 2, 17
TC 2, 18
TC 2, 19
TC 2, 2
TC 2, 20
TC 2, 21
TC 2, 22
TC 2, 23
TC 2, 24
TC 2, 25
TC 2, 26
TC 2, 27
TC 2, 28
TC 2, 29
TC 2, 3
TC 2, 30
TC 2, 31
TC 2, 32
TC 2, 33
TC 2, 34
TC 2, 35
TC 2, 36
TC 2, 37
TC 2, 38
TC 2, 39
TC 2, 4
TC 2, 40
TC 2, 41
TC 2, 42
TC 2, 43
TC 2, 44
TC 2, 45
TC 2, 46
TC 2, 47
TC 2, 48
TC 2, 5
TC 2, 6
TC 2, 7
TC 2, 8
TC 2, 9
TC 3, 1
TC 3, 10
TC 3, 100
TC 3, 101
TC 3, 102
TC 3, 103
TC 3, 104
TC 3, 105
TC 3, 106
TC 3, 107
TC 3, 108
TC 3, 109
TC 3, 11
TC 3, 110
TC 3, 111
TC 3, 112
TC 3, 113
TC 3, 114
TC 3, 115
TC 3, 116
TC 3, 117
TC 3, 118
TC 3, 119
TC 3, 12
TC 3, 120
TC 3, 121
TC 3, 122
TC 3, 123
TC 3, 124
TC 3, 125
TC 3, 126
TC 3, 127
TC 3, 128
TC 3, 129
TC 3, 13
TC 3, 130
TC 3, 132
TC 3, 133
TC 3, 14
TC 3, 143
TC 3, 146
TC 3, 147
TC 3, 148
TC 3, 149
TC 3, 15
TC 3, 150
TC 3, 16
TC 3, 17
TC 3, 18
TC 3, 19
TC 3, 2
TC 3, 20
TC 3, 21
TC 3, 22
TC 3, 23
TC 3, 24 
TC 3, 25
TC 3, 26
TC 3, 27
TC 3, 28
TC 3, 29
TC 3, 3
TC 3, 30
TC 3, 31
TC 3, 32
TC 3, 33
TC 3, 34
TC 3, 35
TC 3, 36
TC 3, 37
TC 3, 38
TC 3, 39
TC 3, 4
TC 3, 40
TC 3, 41
TC 3, 42
TC 3, 43
TC 3, 44
TC 3, 45
TC 3, 46
TC 3, 47
TC 3, 48
TC 3, 49
TC 3, 5
TC 3, 50
TC 3, 51
TC 3, 52
TC 3, 53
TC 3, 54
TC 3, 55
TC 3, 56
TC 3, 57
TC 3, 58
TC 3, 59
TC 3, 6
TC 3, 60
TC 3, 61
TC 3, 62
TC 3, 63
TC 3, 64
TC 3, 65
TC 3, 66
TC 3, 67
TC 3, 68
TC 3, 69
TC 3, 7
TC 3, 70
TC 3, 71
TC 3, 72
TC 3, 73
TC 3, 74
TC 3, 75
TC 3, 76
TC 3, 77
TC 3, 78
TC 3, 79
TC 3, 8
TC 3, 80
TC 3, 81
TC 3, 82
TC 3, 83
TC 3, 84
TC 3, 85
TC 3, 86
TC 3, 87
TC 3, 88
TC 3, 89
TC 3, 9
TC 3, 90
TC 3, 91
TC 3, 92
TC 3, 93
TC 3, 94
TC 3, 95
TC 3, 96
TC 3, 97
TC 3, 98
TC 3, 99
TMH 1, 1a
TMH 1, 1b
TMH 1, 1c
TMH 1, 1d
TMH 1, 25a
TMH 1, 2a
TMH 1, 2b
TMH 1, 2c
TMH 1, 3a
TMH 1, 3b
TMH 1, 3c
TMH 1, 3d
TMH 1, 4a
TMH 1, 4b
TMH 1, 5a
TMH 1, 6c
TMH 1, 7c
TMH 1, 7e
UF 7, 5
UF 7, 6
VS 26, 1
VS 26, 10
VS 26, 11
VS 26, 12
VS 26, 13
VS 26, 14
VS 26, 15
VS 26, 158
VS 26, 16
VS 26, 165
VS 26, 17
VS 26, 170
VS 26, 171
VS 26, 172
VS 26, 176
VS 26, 18
VS 26, 186
VS 26, 188
VS 26, 19
VS 26, 191 'B'
VS 26, 192
VS 26, 194
VS 26, 2
VS 26, 20
VS 26, 21
VS 26, 22
VS 26, 23
VS 26, 24
VS 26, 25
VS 26, 26
VS 26, 27
VS 26, 28
VS 26, 29
VS 26, 3
VS 26, 30
VS 26, 31
VS 26, 32
VS 26, 33
VS 26, 34
VS 26, 35
VS 26, 36
VS 26, 37
VS 26, 38
VS 26, 39
VS 26, 4
VS 26, 40
VS 26, 41
VS 26, 42
VS 26, 43
VS 26, 44
VS 26, 45
VS 26, 46
VS 26, 47
VS 26, 48
VS 26, 49
VS 26, 5
VS 26, 50
VS 26, 51
VS 26, 52
VS 26, 53
VS 26, 54
VS 26, 55
VS 26, 56
VS 26, 57
VS 26, 58
VS 26, 59
VS 26, 6
VS 26, 60
VS 26, 61
VS 26, 62
VS 26, 63
VS 26, 64
VS 26, 65
VS 26, 66
VS 26, 67
VS 26, 68
VS 26, 69
VS 26, 7
VS 26, 70
VS 26, 71
VS 26, 72
VS 26, 73
VS 26, 74
VS 26, 75
VS 26, 76
VS 26, 79
VS 26, 8
VS 26, 83
VS 26, 85
VS 26, 86
VS 26, 87
VS 26, 88
VS 26, 89
VS 26, 9
WAG 48-1462
WAG 48-1463
WAG 48-1465
WAG 48-1466
AKT 6a, 148 – Kt 94/k 1001
AKT 6a, 225 – Kt 94/k 1009
AKT 6a, 177 – Kt 94/k 1020
AKT 6a, 219 – Kt 94/k 1021
AKT 6a, 232 – Kt 94/k 1117
AKT 6a, 171 – Kt 94/k 1118
AKT 6a, 166 – Kt 94/k 1130
AKT 6a, 294 – Kt 94/k 1133
AKT 6a, 231 – Kt 94/k 1134
AKT 6a, 243 – Kt 94/k 1135
AKT 6a, 74 – Kt 94/k 1136
AKT 6a, 286-287 – Kt 94/k 1146
AKT 6a, 139 – Kt 94/k 1164
AKT 6a, 136 – Kt 94/k 1169
AKT 6a, 239 – Kt 94/k 1178
AKT 6a, 161 – Kt 94/k 1188
AKT 6a, 226 – Kt 94/k 1230
AKT 6a, 149 – Kt 94/k 1238
AKT 6a, 240 – Kt 94/k 1254
AKT 6a, 138 – Kt 94/k 1257
AKT 6a, 220 – Kt 94/k 1297
AKT 6a, 146 – Kt 94/k 1301
AKT 6a, 158 – Kt 94/k 1303
AKT 6a, 163 – Kt 94/k 1310
AKT 6a, 143 – Kt 94/k 1318
AKT 6a, 127 – Kt 94/k 1322
AKT 6a, 155 – Kt 94/k 1336
AKT 6a, 238 – Kt 94/k 1337
AKT 6a, 285 – Kt 94/k 1349
AKT 6a, 12 – Kt 94/k 1351
AKT 6a, 13 – Kt 94/k 1362
AKT 6a, 128 – Kt 94/k 1383
AKT 6a, 230 – Kt 94/k 1396
AKT 6a, 208b – Kt 94/k 1400
AKT 6a, 170 – Kt 94/k 1402
AKT 6a, 176 – Kt 94/k 1461
AKT 6a, 175 – Kt 94/k 1463
AKT 6a, 173 – Kt 94/k 1470
AKT 6a, 215 – Kt 94/k 1487
AKT 6a, 288 – Kt 94/k 1606
AKT 6a, 157 – Kt 94/k 1607
AKT 6a, 156 – Kt 94/k 1608
AKT 6a, 150 – Kt 94/k 1609
AKT 6a, 237 – Kt 94/k 1626-1627
AKT 6a, 246 – Kt 94/k 1669
AKT 6a, 144 – Kt 94/k 1686
AKT 6a, 224 – Kt 94/k 1688
AKT 6a, 114 – Kt 94/k 1701
AKT 6a, 14 – Kt 94/k 1721
AKT 6a, 2 – Kt 94/k 1733
AKT 6a, 167 – Kt 94/k 1736
AKT 6a, 164 – Kt 94/k 1744
AKT 6a, 3 – Kt 94/k 1746
AKT 6a, 162 – Kt 94/k 1750
AKT 6a, 131 – Kt 94/k 1751
AKT 6a, 132 – Kt 94/k 1754
AKT 6a, 129 – Kt 94/k 1756
AKT 6a, 130 – Kt 94/k 1757
AKT 6a, 165 – Kt 94/k 1758
AKT 6a, 178 – Kt 94/k 1772
AKT 6a, 179 – Kt 94/k 1775
AKT 6a, 293  – Kt 94/k 587b
AKT 6a, 135 – Kt 94/k 611
AKT 6a, 126 – Kt 94/k 612
AKT 6a, 253 – Kt 94/k 613
AKT 6a, 223 – Kt 94/k 614
AKT 6a, 254 – Kt 94/k 619
AKT 6a, 153 – Kt 94/k 696
AKT 6a, 247 – Kt 94/k 719
AKT 6a, 242 – Kt 94/k 720
AKT 6a, 208a – Kt 94/k 728
AKT 6a, 233 – Kt 94/k 739
AKT 6a, 209 – Kt 94/k 747
AKT 6a, 236 – Kt 94/k 772
AKT 6a, 152 – Kt 94/k 776
AKT 6a, 134 – Kt 94/k 802
AKT 6a, 241 – Kt 94/k 815
AKT 6a, 113 – Kt 94/k 831
AKT 6a, 151 – Kt 94/k 833
AKT 6a, 75 – Kt 94/k 839
AKT 6a, 115 – Kt 94/k 840
AKT 6a, 76 – Kt 94/k 841
AKT 6a, 109 – Kt 94/k 842
AKT 6a, 244 – Kt 94/k 844
AKT 6a, 234-235 – Kt 94/k 863
AKT 6a, 141 – Kt 94/k 864
AKT 6a, 208 – Kt 94/k 916
AKT 6a, 110 – Kt 94/k 917
AKT 6a, 124 – Kt 94/k 921
AKT 6a, 214 – Kt 94/k 945
Kt b/k 19
Kt n/k 1502
Kt 92/k 326
Kt 92/k 526 
C17 Landsberger - OAA 1, 23
AKT 5, 26
AKT 5, 18
AKT 6a, 133 – Kt 94/k 1443
AKT 6a, 125 – Kt 94/k 1444
AKT 6a, 142 – Kt 94/k 1445
Kt h/k 40
Museon 85546a
AKT 6a, 137 – Kt 94/k 1422
AKT 6a, 172 – Kt 94/k 1446
CCT 2, 37b
AKT 5, 6
AKT 5, 7
AKT 5, 8
AKT 5, 9
AKT 5, 10
AKT 5, 11
AKT 5, 12
AKT 5, 13
AKT 5, 14
AKT 5, 15
AKT 5, 16
AKT 5, 17
AKT 5, 19
AKT 5, 20
AKT 5, 21
AKT 5, 22
AKT 5, 23
AKT 5, 24
AKT 5, 25
AKT 5, 27
AKT 5, 28
AKT 5, 29
AKT 5, 30
AKT 5, 31
AKT 5, 32
AKT 5, 33
AKT 5, 34
AKT 5, 76*
Yale YBC 13092
CCT 2, 28
Etnografya 397
KBo 28, 155
KBo 28, 156
KBo 9, 7
KBo 9, 8
KBo 9, 9
KBo 9, 11
KBo 9, 13
KBo 9, 22
KBo 9, 38
KBo 9, 39
KBo 28, 160
KBo 28, 168
KBo 28, 170
Ass 20154 - A. 1474
Kt e/k 152
CCT 6, 37a
Kt n/k 1451
CCT 6, 19b
CCT 3, 48a
CCT 3, 7b-8a
CCT 2, 41b
CCT 4, 3a
Kt h/k 38
Kt h/k 114
Ass 13058 h
Brussel 5
OLP 20 - Sauren
SÉ 147 (not ŠÉ 15!)
HS 2931
HS 2932
AKT 6a, 248-249 – Kt 94/k 590
kt 95/k 397
kt 95/k 392
LB 1225
LB 1217
LB 1231
